id,neighborhood,host_since,superhost,host_acceptance_rate,host_total_listings,room_type,accommodates,bathrooms,bedrooms,beds,price,min_nights,total_reviews,avg_rating
837,Capitol Hill,1/10/2016,T,1,10,Entire home/apt,2,1 bath,1,1,152,2,183,4.68
838,Union Station,1/10/2016,T,1,10,Entire home/apt,6,1 bath,2,2,189,2,106,4.74
841,Dupont Circle,3/2/2013,F,,2,Private room,2,1 shared bath,1,1,62,31,4,4.75
843,Capitol Hill,9/7/2017,F,,1,Entire home/apt,8,4 baths,4,4,400,31,102,4.79
844,Union Station,8/21/2012,F,0.99,223,Entire home/apt,6,2 baths,2,3,216,31,123,4.67
845,Union Station,8/21/2012,F,0.99,223,Entire home/apt,6,2 baths,2,3,228,31,138,4.69
846,Union Station,8/21/2012,F,0.99,223,Entire home/apt,6,2 baths,2,3,228,31,71,4.56
847,Union Station,8/21/2012,F,0.99,223,Entire home/apt,6,2 baths,2,3,216,31,118,4.5
849,Shaw,8/4/2015,F,0.25,86,Entire home/apt,3,1 bath,1,1,169,31,5,4.8
851,Union Station,1/10/2016,T,1,10,Entire home/apt,2,1 bath,1,1,134,2,104,4.59
857,Foggy Bottom,2/20/2014,F,1,3,Entire home/apt,4,1 bath,2,3,209,4,208,4.79
858,Shaw,8/16/2012,T,1,1,Entire home/apt,3,1 bath,1,2,187,3,86,4.92
859,Union Station,3/7/2016,T,1,3,Entire home/apt,4,1 bath,1,2,129,3,249,4.86
860,Dupont Circle,11/12/2015,F,,5,Entire home/apt,3,1 bath,1,1,175,31,3,5
861,Capitol Hill,8/20/2014,T,1,1,Entire home/apt,2,1 bath,1,1,131,2,284,4.99
863,Georgetown,10/15/2015,T,0.98,284,Entire home/apt,5,1 bath,2,4,268,3,95,4.67
865,Shaw,11/29/2012,F,0.95,10,Entire home/apt,4,1 bath,2,2,150,31,54,4.56
868,Dupont Circle,12/31/2015,T,1,1,Entire home/apt,4,1 bath,2,2,279,2,228,4.96
870,Shaw,11/16/2012,F,,3,Entire home/apt,9,3 baths,4,4,350,31,66,4.89
871,Union Station,2/3/2015,T,1,1,Entire home/apt,2,1 bath,1,2,105,31,265,4.99
872,Capitol Hill,8/18/2017,F,0.76,51,Private room,4,1 private bath,1,4,107,1,16,4.38
873,Capitol Hill,8/18/2017,F,0.76,51,Shared room,6,1 shared bath,,6,25,1,49,4.53
874,Foggy Bottom,3/5/2015,T,0.73,6,Entire home/apt,4,1 bath,1,2,110,31,175,4.91
876,Capitol Hill,4/4/2014,F,,3,Entire home/apt,3,1 bath,2,2,80,31,2,5
878,Foggy Bottom,9/15/2017,F,1,1,Entire home/apt,5,1 bath,2,3,130,31,191,4.68
879,Shaw,8/22/2011,T,0.89,1,Entire home/apt,4,1 bath,2,2,99,2,144,4.88
880,Shaw,7/19/2016,F,,9,Entire home/apt,4,1 bath,2,2,150,31,146,4.86
881,Shaw,10/31/2017,F,,2,Entire home/apt,3,1 bath,2,2,109,31,118,4.43
883,Foggy Bottom,9/4/2012,F,0.78,6,Entire home/apt,4,1 bath,,2,73,31,107,4.8
884,Capitol Hill,2/13/2016,F,,2,Private room,2,1 private bath,1,1,60,31,18,4.56
885,Dupont Circle,12/17/2015,F,1,1,Entire home/apt,4,1 bath,1,2,120,365,144,4.94
890,Union Station,6/1/2015,F,,3,Private room,2,1 private bath,1,1,150,31,2,5
891,Capitol Hill,4/13/2017,T,0.8,5,Entire home/apt,2,1 bath,1,1,58,31,74,4.93
893,Capitol Hill,11/16/2015,T,0.99,3,Entire home/apt,8,3.5 baths,3,4,503,3,163,4.91
895,Union Station,10/29/2012,T,0.91,1,Entire home/apt,4,1.5 baths,2,2,198,2,25,4.84
903,Union Station,7/7/2014,T,0.99,2,Entire home/apt,2,1 bath,,1,119,2,319,4.92
904,Capitol Hill,9/11/2015,F,,1,Entire home/apt,3,1 bath,,1,79,31,55,4.96
907,Union Station,7/17/2017,F,1,5,Entire home/apt,5,1 bath,2,3,188,2,254,4.78
908,Capitol Hill,2/5/2013,F,0.95,6,Entire home/apt,2,1 bath,,1,87,2,34,4.94
913,Union Station,1/16/2015,T,1,3,Private room,2,1 private bath,1,1,130,1,372,4.94
914,Capitol Hill,7/2/2013,F,,1,Entire home/apt,4,1 bath,,2,65,31,72,4.9
917,Union Station,8/23/2017,F,1,1,Entire home/apt,3,1 bath,,2,102,1,14,5
918,Capitol Hill,4/13/2017,T,0.8,5,Entire home/apt,4,1 bath,2,1,225,31,52,4.88
920,Union Station,1/3/2018,F,,1,Entire home/apt,5,1 bath,2,2,130,31,6,5
922,Shaw,1/4/2018,T,0.95,1,Entire home/apt,3,1 bath,,2,158,2,349,4.95
